neighbourhood_code,label_accidents,label_avg_occ,label_above_65,label_academic_level,label_between_18_65,label_bus_stops,label_children_play_areas,label_cinema_theatre_concerts,label_cultural_leisure_spaces,label_library_studyroom,label_sport_facilities,label_tourists_points,label_transportation,label_street_markets_and_fairs,label_rent_price,label_hotels,label_spaces_for_excercise,label_parks_gardens,label_exhebitons_museums,label_music_drinks,label_temporary_exhibitions,similarity
1,6.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.820335048385645
7,6.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,0.0,4.0,3.0,0.0,3.0,2.0,4.0,2.0,0.8119911984640936
20,4.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.806383883438693
11,6.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.7997307335477463
4,5.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,0.7799131123464443
2,5.0,7.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,0.7786324659778143
5,5.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.7530228059389207
26,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,0.7460038465922509
8,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,4.0,0.0,0.7363609641338933
25,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7346563960379714
23,4.0,5.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.6992794402362978
31,5.0,0.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,0.6912530139708339
10,5.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.6902036186754673
3,5.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.6882472016116852
67,3.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6825982681581177
66,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6804060611821985
18,5.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6803727995221489
68,5.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.6803688299150148
9,5.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,0.6694379439179792
19,5.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.6622403606981345
27,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6619505851768772
21,3.0,5.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,0.6503500017216282
22,2.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.650224975286476
32,4.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.634761770815874
14,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6337609111975773
6,5.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.6241596920408115
43,4.0,4.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.6193393796761438
60,5.0,2.0,5.0,1.0,3.0,2.0,6.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6153557179830177
15,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6141131705360953
12,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6110313093940405
53,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5953147159982718
49,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5868156585162753
30,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5757575757575757
16,3.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5751486749181581
40,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5732660228131506
35,4.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5703461015192639
41,2.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5611030907712433
24,2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.559506777178785
