year;trimester;district_name;neighbourhood_name;average _rent;price
2014;1;Ciutat Vella;el Raval;average rent (euro/month);589.55
2014;1;Ciutat Vella;Gothic Quarter;average rent (euro/month);712.79
2014;1;Ciutat Vella;la Barceloneta;average rent (euro/month);540.71
2014;1;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;average rent (euro/month);673.44
2014;1;Eixample;Fort Pienc;average rent (euro/month);736.09
2014;1;Eixample;Sagrada Familia;average rent (euro/month);673.37
2014;1;Eixample;la Dreta de l'Eixample;average rent (euro/month);921.4
2014;1;Eixample;l'Antiga Esquerra de l'Eixample;average rent (euro/month);827.87
2014;1;Eixample;la Nova Esquerra de l'Eixample;average rent (euro/month);716.13
2014;1;Eixample;Sant Antoni;average rent (euro/month);693.43
2014;1;Sants-Montjuic;el Poble Sec;average rent (euro/month);568
2014;1;Sants-Montjuic;la Marina de Port;average rent (euro/month);553.55
2014;1;Sants-Montjuic;la Font de la Guatlla;average rent (euro/month);631.5
2014;1;Sants-Montjuic;Hostafrancs;average rent (euro/month);580.71
2014;1;Sants-Montjuic;la Bordeta;average rent (euro/month);604.74
2014;1;Sants-Montjuic;Sants - Badal;average rent (euro/month);584.27
2014;1;Sants-Montjuic;Sants;average rent (euro/month);605.28
2014;1;Les Corts;les Corts;average rent (euro/month);777.23
2014;1;Les Corts;la Maternitat i Sant Ramon;average rent (euro/month);700.16
2014;1;Les Corts;Pedralbes;average rent (euro/month);1230
2014;1;Sarria-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;average rent (euro/month);837.33
2014;1;Sarria-Sant Gervasi;Sarria;average rent (euro/month);1042.16
2014;1;Sarria-Sant Gervasi;les Tres Torres;average rent (euro/month);1215.85
2014;1;Sarria-Sant Gervasi;Sant Gervasi - la Bonanova;average rent (euro/month);927.63
2014;1;Sarria-Sant Gervasi;Sant Gervasi - Galvany;average rent (euro/month);1053.7
2014;1;Sarria-Sant Gervasi;el Putxet i el Farro;average rent (euro/month);750.84
2014;1;Gracia;Vallcarca i els Penitents;average rent (euro/month);679.66
2014;1;Gracia;el Coll;average rent (euro/month);583.93
2014;1;Gracia;la Salut;average rent (euro/month);634.48
2014;1;Gracia;la Vila de Gracia;average rent (euro/month);679.8
2014;1;Gracia;el Camp d'en Grassot i Gracia Nova;average rent (euro/month);671
2014;1;Horta-Guinardo;el Baix Guinardo;average rent (euro/month);622.63
2014;1;Horta-Guinardo;Can Baro;average rent (euro/month);568.94
2014;1;Horta-Guinardo;el Guinardo;average rent (euro/month);586.5
2014;1;Horta-Guinardo;la Font d'en Fargues;average rent (euro/month);585.45
2014;1;Horta-Guinardo;el Carmel;average rent (euro/month);478.7
2014;1;Horta-Guinardo;la Teixonera;average rent (euro/month);492.79
2014;1;Horta-Guinardo;Sant Genis dels Agudells;average rent (euro/month);557
2014;1;Horta-Guinardo;Montbau;average rent (euro/month);537.94
2014;1;Horta-Guinardo;la Vall d'Hebron;average rent (euro/month);737.73
2014;1;Horta-Guinardo;Horta;average rent (euro/month);556.3
2014;1;Nou Barris;Vilapicina i la Torre Llobeta;average rent (euro/month);555.89
2014;1;Nou Barris;Porta;average rent (euro/month);523.29
2014;1;Nou Barris;el Turo de la Peira;average rent (euro/month);475.06
2014;1;Nou Barris;Can Peguera;average rent (euro/month);241.99
2014;1;Nou Barris;la Guineueta;average rent (euro/month);613.58
2014;1;Nou Barris;Canyelles;average rent (euro/month);563.33
2014;1;Nou Barris;les Roquetes;average rent (euro/month);461.28
2014;1;Nou Barris;Verdun;average rent (euro/month);503.47
2014;1;Nou Barris;la Prosperitat;average rent (euro/month);521.81
2014;1;Nou Barris;la Trinitat Nova;average rent (euro/month);442.94
2014;1;Nou Barris;Ciutat Meridiana;average rent (euro/month);359.27
2014;1;Sant Andreu;la Trinitat Vella;average rent (euro/month);461.1
2014;1;Sant Andreu;el Bon Pastor;average rent (euro/month);488.14
2014;1;Sant Andreu;Sant Andreu;average rent (euro/month);581.16
2014;1;Sant Andreu;la Sagrera;average rent (euro/month);626.26
2014;1;Sant Andreu;el Congres i els Indians;average rent (euro/month);563.42
2014;1;Sant Andreu;Navas;average rent (euro/month);613.47
2014;1;Sant Marti;el Camp de l'Arpa del Clot;average rent (euro/month);580.09
2014;1;Sant Marti;el Clot;average rent (euro/month);604.85
2014;1;Sant Marti;el Parc i la Llacuna del Poblenou;average rent (euro/month);704.67
2014;1;Sant Marti;la Vila Olimpica del Poblenou;average rent (euro/month);926.43
2014;1;Sant Marti;el Poblenou;average rent (euro/month);663.93
2014;1;Sant Marti;Diagonal Mar i el Front Maritim del Poblenou;average rent (euro/month);866.7
2014;1;Sant Marti;el Besos i el Maresme;average rent (euro/month);516.9
2014;1;Sant Marti;Provencals del Poblenou;average rent (euro/month);635.7
2014;1;Sant Marti;Sant Marti de Provencals;average rent (euro/month);643.66
2014;1;Sant Marti;la Verneda i la Pau;average rent (euro/month);568.68
2014;2;Ciutat Vella;el Raval;average rent (euro/month);550.63
2014;2;Ciutat Vella;Gothic Quarter;average rent (euro/month);728.79
2014;2;Ciutat Vella;la Barceloneta;average rent (euro/month);541.93
2014;2;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;average rent (euro/month);676.98
2014;2;Eixample;Fort Pienc;average rent (euro/month);706.16
2014;2;Eixample;Sagrada Familia;average rent (euro/month);663.23
2014;2;Eixample;la Dreta de l'Eixample;average rent (euro/month);948.96
2014;2;Eixample;l'Antiga Esquerra de l'Eixample;average rent (euro/month);821.81
2014;2;Eixample;la Nova Esquerra de l'Eixample;average rent (euro/month);708
2014;2;Eixample;Sant Antoni;average rent (euro/month);718.01
2014;2;Sants-Montjuic;el Poble Sec;average rent (euro/month);578.65
2014;2;Sants-Montjuic;la Marina de Port;average rent (euro/month);454.44
2014;2;Sants-Montjuic;la Font de la Guatlla;average rent (euro/month);624.88
2014;2;Sants-Montjuic;Hostafrancs;average rent (euro/month);584.91
2014;2;Sants-Montjuic;la Bordeta;average rent (euro/month);616.4
2014;2;Sants-Montjuic;Sants - Badal;average rent (euro/month);569.68
2014;2;Sants-Montjuic;Sants;average rent (euro/month);618.8
2014;2;Les Corts;les Corts;average rent (euro/month);765.29
2014;2;Les Corts;la Maternitat i Sant Ramon;average rent (euro/month);748.64
2014;2;Les Corts;Pedralbes;average rent (euro/month);1459.12
2014;2;Sarria-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;average rent (euro/month);1051.22
2014;2;Sarria-Sant Gervasi;Sarria;average rent (euro/month);1030.35
2014;2;Sarria-Sant Gervasi;les Tres Torres;average rent (euro/month);1327.22
2014;2;Sarria-Sant Gervasi;Sant Gervasi - la Bonanova;average rent (euro/month);920.62
