register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿99083114355,Biblioteca Guinardó - Mercè Rodoreda,,,1999-03-24T00:00:00+01:00,2022-09-27T10:50:13.101925+02:00,,,056504,Carrer de les Camèlies,76,,33,el Baix Guinardó,07,Horta-Guinardó,08024,Barcelona,True,,202376,20003,Telèfons,Centraleta,934353170,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,430244.5663671695,4585090.986489356,41.41434434997389,2.165335563039016
﻿99083114355,Biblioteca Guinardó - Mercè Rodoreda,,,1999-03-24T00:00:00+01:00,2022-09-27T10:50:13.101925+02:00,,,056504,Carrer de les Camèlies,76,,33,el Baix Guinardó,07,Horta-Guinardó,08024,Barcelona,True,,202376,20003,Telèfons,Centraleta,934353170,True,,55731070,Biblioteques municipals,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques municipals,651,0065103002000002,430244.5663671695,4585090.986489356,41.41434434997389,2.165335563039016
﻿99083114355,Biblioteca Guinardó - Mercè Rodoreda,,,1999-03-24T00:00:00+01:00,2022-09-27T10:50:13.101925+02:00,,,056504,Carrer de les Camèlies,76,,33,el Baix Guinardó,07,Horta-Guinardó,08024,Barcelona,True,,202376,20003,Telèfons,Centraleta,934353170,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,430244.5663671695,4585090.986489356,41.41434434997389,2.165335563039016
﻿99400682961,Restaurant Gala Barcelona,,,2021-12-31T08:30:36.665412+01:00,2021-12-31T08:33:04.856922+01:00,,,268003,Carrer de Provença,286,288,07,la Dreta de l'Eixample,02,Eixample,08008,Barcelona,True,,437397,20001,Telèfons,Tel.,93 607 37 70,False,,55734069,Cocteleries,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Cocteleries,651,0065103002003001,429851.61487073,4582854.51398829,41.39416705168492,2.1608933438213866
﻿99400682961,Restaurant Gala Barcelona,,,2021-12-31T08:30:36.665412+01:00,2021-12-31T08:33:04.856922+01:00,,,268003,Carrer de Provença,286,288,07,la Dreta de l'Eixample,02,Eixample,08008,Barcelona,True,,437397,20001,Telèfons,Tel.,93 607 37 70,False,,55734076,Xampanyeries,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Xampanyeries,651,0065103002003008,429851.61487073,4582854.51398829,41.39416705168492,2.1608933438213866
﻿99400682961,Restaurant Gala Barcelona,,,2021-12-31T08:30:36.665412+01:00,2021-12-31T08:33:04.856922+01:00,,,268003,Carrer de Provença,286,288,07,la Dreta de l'Eixample,02,Eixample,08008,Barcelona,True,,437397,20001,Telèfons,Tel.,93 607 37 70,False,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,429851.61487073,4582854.51398829,41.39416705168492,2.1608933438213866
﻿93132124245,Teatre,92168166237,Escuela Suiza,1993-05-12T00:00:00+02:00,2022-09-17T05:03:22.101364+02:00,,,008501,C Alfons XII,95,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08006,BARCELONA,True,,173322,20001,Telèfons,Tel.,932096544,True,,55732068,Teatres,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",651,0065103002001000,428644.66721036955,4583648.550221019,41.40121244655729,2.1463639281109597
﻿92086004419,Centre Cívic La Sedeta,,,1984-05-30T00:00:00+02:00,2022-07-13T08:35:50.929893+02:00,,,325005,Carrer de Sicília,321,,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,08025,Barcelona,True,,160753,20001,Telèfons,Tel.,934591228,True,,55733072,Centres cívics,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Centres cívics,651,0065103002002004,430431.78075060085,4584115.699037433,41.40557651201225,2.167687591797475
﻿92086004419,Centre Cívic La Sedeta,,,1984-05-30T00:00:00+02:00,2022-07-13T08:35:50.929893+02:00,,,325005,Carrer de Sicília,321,,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,08025,Barcelona,True,,160753,20001,Telèfons,Tel.,934591228,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,430431.78075060085,4584115.699037433,41.40557651201225,2.167687591797475
﻿99400658013,Casal de Gent Gran de la Trinitat Vella,,,2020-09-28T09:15:33+02:00,2022-06-09T09:42:02.032580+02:00,,,281409,Carretera de Ribes,85,,57,la Trinitat Vella,09,Sant Andreu,08033,Barcelona,True,,419587,20001,Telèfons,Tel.,93 707 70 60,False,,55733068,Casals d'avis,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Casals d'avis,651,0065103002002000,432303.98257675004,4589021.940607657,41.44992522636068,2.1895350129614184
﻿99298123646,Jardins Hiroshima,,,1999-10-25T00:00:00+02:00,2022-11-23T12:39:17.181604+01:00,,,056504,Camèlies,80,,33,el Baix Guinardó,07,Horta-Guinardó,08024,BARCELONA,True,,,,,,,,,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,0065103002006000,430348.3283757977,4585012.130279517,41.4136431206065,2.1665860884616808
﻿92086011955,Parc de les Aigües,,,1985-04-01T00:00:00+02:00,2022-11-23T12:39:25.565259+01:00,,,008807,Pl Alfons el Savi,3,,33,el Baix Guinardó,07,Horta-Guinardó,08024,BARCELONA,True,,163795,20001,Telèfons,Tel.,010,True,,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,0065103002006000,430255.9022747529,4585005.688323276,41.413577084643165,2.1654810232921857
﻿99400661058,Àrea de Joc Infantil,99400660920,Interior d'Illa Àntics Cinema Niza,2020-12-10T16:35:20+01:00,2021-05-04T12:40:11.865078+02:00,,,292201,Pl Sagrada Família,12,,06,la Sagrada Família,02,Eixample,08025,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,430843.98179963086,4583856.13665331,41.40327428684885,2.17264831600622
﻿92086011957,Parc de la Guineueta,,,1985-04-16T00:00:00+02:00,2022-11-23T12:39:25.503002+01:00,,,186601,Plaça de la República,9,,48,la Guineueta,08,Nou Barris,08016,Barcelona,True,,163773,20001,Telèfons,Tel.,010,True,,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,0065103002006000,431035.69212384324,4587826.426994833,41.43904973751512,2.1744888744706907
﻿99055092323,Casal de Joves Queix,99400297962,Espai Espai Associatiu Lola Anglada,1999-02-24T00:00:00+01:00,2021-04-23T11:43:36.581671+02:00,,,285807,C Rocafort,236,,09,la Nova Esquerra de l'Eixample,02,Eixample,08029,BARCELONA,True,,,,,,,,,55733071,Casals i espais per a joves,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Casals i espais per a joves,651,0065103002002003,428556.3634431765,4581882.913427785,41.38530218893023,2.145515935297018
