register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿99400197039,Restaurant Cocteleria Ebano,,,2007-12-27T14:01:32+01:00,2021-05-28T14:38:07.906163+02:00,,,198804,Av Paral·lel,124,,10,Sant Antoni,02,Eixample,08015,BARCELONA,True,,219104,20001,Telèfons,Tel.,934418432,True,,55734069,Cocteleries,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Cocteleries,651,0065103002003001,429920.71341658244,4580748.656784038,41.3752063158488,2.161963381002588
﻿99400197039,Restaurant Cocteleria Ebano,,,2007-12-27T14:01:32+01:00,2021-05-28T14:38:07.906163+02:00,,,198804,Av Paral·lel,124,,10,Sant Antoni,02,Eixample,08015,BARCELONA,True,,219104,20001,Telèfons,Tel.,934418432,True,,55734076,Xampanyeries,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Xampanyeries,651,0065103002003008,429920.71341658244,4580748.656784038,41.3752063158488,2.161963381002588
﻿99400191791,Sala Monasterio,,,2007-10-03T12:54:27+02:00,2022-09-17T06:52:38.226782+02:00,,,700696,Moll Mestral,30,,67,la Vila Olímpica del Poblenou,10,Sant Martí,08005,BARCELONA,True,,219115,20001,Telèfons,Tel.,616287197,True,,55734068,Bars i pubs musicals,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,651,0065103002003000,433079.32742366707,4582141.287831986,41.38801827078488,2.1995779583018025
﻿99400191791,Sala Monasterio,,,2007-10-03T12:54:27+02:00,2022-09-17T06:52:38.226782+02:00,,,700696,Moll Mestral,30,,67,la Vila Olímpica del Poblenou,10,Sant Martí,08005,BARCELONA,True,,219115,20001,Telèfons,Tel.,616287197,True,,55734070,Discoteques,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,651,0065103002003002,433079.32742366707,4582141.287831986,41.38801827078488,2.1995779583018025
﻿75990102799,Bar musical Aloha,,,1996-09-18T00:00:00+02:00,2021-05-28T14:37:14.527343+02:00,,,268003,C Provença,159,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,BARCELONA,True,,142535,20001,Telèfons,Tel.,934517962,True,,55734068,Bars i pubs musicals,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,651,0065103002003000,429328.33383638016,4582370.758829709,41.389764228515475,2.154691016573122
﻿75990102799,Bar musical Aloha,,,1996-09-18T00:00:00+02:00,2021-05-28T14:37:14.527343+02:00,,,268003,C Provença,159,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,BARCELONA,True,,142535,20001,Telèfons,Tel.,934517962,True,,55734069,Cocteleries,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Cocteleries,651,0065103002003001,429328.33383638016,4582370.758829709,41.389764228515475,2.154691016573122
﻿75990102799,Bar musical Aloha,,,1996-09-18T00:00:00+02:00,2021-05-28T14:37:14.527343+02:00,,,268003,C Provença,159,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,BARCELONA,True,,142535,20001,Telèfons,Tel.,934517962,True,,55734076,Xampanyeries,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Xampanyeries,651,0065103002003008,429328.33383638016,4582370.758829709,41.389764228515475,2.154691016573122
﻿99400191112,Bar Betty Ford,,,2007-09-27T10:11:51+02:00,2021-05-28T14:38:02.020798+02:00,,,167709,C Joaquín Costa,56,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,219030,20001,Telèfons,Tel.,933041368,True,,55734068,Bars i pubs musicals,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,651,0065103002003000,430189.49061640113,4581647.280068492,41.38332329413481,2.165073687983787
﻿99400191112,Bar Betty Ford,,,2007-09-27T10:11:51+02:00,2021-05-28T14:38:02.020798+02:00,,,167709,C Joaquín Costa,56,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,219030,20001,Telèfons,Tel.,933041368,True,,55734069,Cocteleries,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Cocteleries,651,0065103002003001,430189.49061640113,4581647.280068492,41.38332329413481,2.165073687983787
﻿99400191112,Bar Betty Ford,,,2007-09-27T10:11:51+02:00,2021-05-28T14:38:02.020798+02:00,,,167709,C Joaquín Costa,56,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,219030,20001,Telèfons,Tel.,933041368,True,,55734076,Xampanyeries,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Xampanyeries,651,0065103002003008,430189.49061640113,4581647.280068492,41.38332329413481,2.165073687983787
